County Name,Climate Biome(s),CDPH Climate Impact Regions,2020-2029 (2025) Sea Level Rise (in),2030-2039 (2035) Sea Level Rise (in),2040-2049 (2045) Sea Level Rise (in),2050-2059 (2055) Sea Level Rise (in)
Alameda,"Urban, Coastal, Grassland",Bay Area,6,8.4,11.4,15
Alpine,"Mountain, Forest",Southeast Sierra,,,,
Amador,"Forest, Grassland",North Sierra,,,,
Butte,"Forest, Grassland, Urban",Northern Central Valley,,,,
Calaveras,"Forest, Grassland",North Sierra,,,,
Colusa,"Ag. Lands, Grassland",Northern Central Valley,,,,
Contra Costa,"Urban, Coastal, Grassland",Bay Area,6,8.4,11.4,15
Del Norte,"Coastal, Forest",North,5.4,7.8,10.8,13.8
El Dorado,"Forest, Mountain",North Sierra,,,,
Fresno,"Ag. Lands, Mountain, Grassland",Southern Central Valley,,,,
Glenn,"Ag. Lands, Grassland",Northern Central Valley,,,,
Humboldt,"Coastal, Forest",North,5.4,7.8,10.8,13.8
Imperial,"Desert, Ag. Lands",Desert,,,,
Inyo,"Desert, Mountain",Southeast Sierra,,,,
Kern,"Desert, Ag. Lands, Mountain",Southern Central Valley,,,,
Kings,"Ag. Lands, Grassland",Southern Central Valley,,,,
Lake,"Forest, Grassland",North Coast,,,,
Lassen,"Mountain, Forest, Grassland",North,,,,
Los Angeles,"Urban, Coastal, Mountain, Desert edges",South Coast,6,8.4,11.4,15.6
Madera,"Ag. Lands, Mountain",Northern Central Valley,,,,
Marin,"Coastal, Forest, Grassland",Bay Area,6.6,10.2,13.8,18
Mariposa,"Mountain, Forest",North Sierra,,,,
Mendocino,"Coastal, Forest",North,7.2,10.8,13.8,18
Merced,"Ag. Lands, Grassland",Northern Central Valley,,,,
Modoc,"Grassland, Forest",North,,,,
Mono,"Mountain, Desert edges",Southeast Sierra,,,,
Monterey,"Coastal, Ag. Lands, Grassland, Forest",Central Coast,6,9,12.6,16.2
Napa,"Ag. Lands (vineyards), Grassland",Bay Area,6,8.4,11.4,15
Nevada,"Forest, Mountain",North Sierra,,,,
Orange,"Urban, Coastal",South Coast,6,8.4,11.4,15.6
Placer,"Forest, Mountain, Urban edges",North Sierra,,,,
Plumas,"Forest, Mountain",North Sierra,,,,
Riverside,"Desert, Urban, Mountain edges",Desert,,,,
Sacramento,"Urban, Ag. Lands",Northern Central Valley,6,8.4,11.4,15
San Benito,"Ag. Lands, Grassland, Mountain",Central Coast,,,,
San Bernardino,"Desert, Mountain, Urban edges",Desert,,,,
San Diego,"Coastal, Desert, Urban, Mountain edges",South Coast,7.2,10.2,13.8,18
San Francisco,"Urban, Coastal",Bay Area,7.2,10.2,13.8,18
San Joaquin,"Ag. Lands, Urban",Northern Central Valley,6,8.4,11.4,15
San Luis Obispo,"Coastal, Ag. Lands, Grassland",Central Coast,6.6,8.4,11.4,15.6
San Mateo,"Coastal, Urban, Forest edges",Bay Area,6,8.4,11.4,15
Santa Barbara,"Coastal, Mountain, Ag. Lands",Central Coast,6,8.4,11.4,15.6
Santa Clara,"Urban, Grassland, Ag. Lands, Mountain edges",Bay Area,6,9,12.6,16.2
Santa Cruz,"Coastal, Forest",Central Coast,6,9,12.6,16.2
Shasta,"Forest, Mountain",North,,,,
Sierra,"Mountain, Forest",North Sierra,,,,
Siskiyou,"Mountain, Forest, Grassland",North,,,,
Solano,"Ag. Lands, Urban, Coastal edges",Bay Area,6,8.4,11.4,15
Sonoma,"Coastal, Ag. Lands (vineyards), Grassland",Bay Area,7.2,10.2,12,16.2
Stanislaus,"Ag. Lands, Grassland",Northern Central Valley,,,,
Sutter,"Ag. Lands, Grassland",Northern Central Valley,,,,
Tehama,"Grassland, Forest",Northern Central Valley,,,,
Trinity,"Mountain, Forest",North,,,,
Tulare,"Ag. Lands, Mountain, Grassland",Southern Central Valley,,,,
Tuolumne,"Mountain, Forest",North Sierra,,,,
Ventura,"Coastal, Ag. Lands, Mountain",South Coast,6,8.4,11.4,15.6
Yolo,"Ag. Lands, Grassland",Northern Central Valley,6,8.4,11.4,15
Yuba,"Forest, Grassland",Northern Central Valley,,,,
